RespondentID,political_views
6176264298,Moderate
6176263960,Moderate
6176258621,Liberal
6176257082,Liberal
6176256111,Liberal
6176254380,Liberal
6176253761,Conservative
6176248227,Moderate
6176247712,Moderate
6176246249,Very Conservative
6176240275,Moderate
6176239653,Moderate
6176239120,Conservative
6176230911,Moderate
6176222414,Moderate
6176221532,Liberal
6176218682,Liberal
6176210747,Conservative
6176209160,Moderate
6176205330,Very Liberal
6176205070,Moderate
6176199379,Conservative
6176197758,Moderate
6176197497,Moderate
6176196061,Moderate
6176191434,Liberal
6176190631,Moderate
6176185417,Moderate
6176180692,Conservative
6176173909,Conservative
6176166967,Very Liberal
6176166265,Moderate
6176165359,Conservative
6176164444,Liberal
6176151505,Liberal
6176147640,Conservative
6176143182,Moderate
6176135243,Liberal
6176132519,Moderate
6176128957,Moderate
6176126463,Moderate
6176125238,Liberal
6176124673,Moderate
6176113929,Very Liberal
6176096513,Liberal
6176087671,Moderate
6176085327,Moderate
6176082763,Conservative
6176063250,Conservative
6175970376,Conservative
6175968438,Moderate
6175952654,Conservative
6175936310,Liberal
6175902619,Liberal
6175796220,Liberal
6175757592,Moderate
6175721406,Liberal
6175666740,Moderate
6175650732,Very Liberal
6175595990,Moderate
6175577730,Moderate
6175575232,Moderate
6175545225,Liberal
6175543951,Moderate
6175538052,Conservative
6175492622,Moderate
6175475715,Moderate
6175452466,Moderate
6175440990,Conservative
6175352617,Conservative
6175331199,Conservative
6175326808,Moderate
6175288331,Moderate
6175234025,Conservative
6175217916,Very Liberal
6175208622,Very Liberal
6175188576,Conservative
6175109552,Conservative
6175081432,Liberal
6175069051,Very Liberal
6175060163,Conservative
6175045530,Very Conservative
6175043034,Very Liberal
6175031380,Liberal
6175021362,Conservative
6174992718,Very Conservative
6174964137,Conservative
6174963958,Conservative
6174949564,Very Conservative
6174942368,Liberal
6174940319,Moderate
6174938691,Conservative
6174933174,Moderate
6174924286,Conservative
6174905782,Moderate
6174904819,Conservative
6174903897,Liberal
6174887554,Moderate
6174882065,Very Liberal
6174877215,Conservative
6174817286,Very Liberal
6174810375,Liberal
6174794249,Moderate
6174790001,Moderate
6174756846,Very Liberal
6174747637,Moderate
6174736665,Very Liberal
6174726080,Very Liberal
6174721507,Liberal
6174709818,Liberal
6174704207,Moderate
6174702857,Moderate
6174669558,Moderate
6174560497,Conservative
6174494532,Moderate
6174450847,Very Liberal
6174422768,Liberal
6174412996,Very Liberal
6174407789,Moderate
6174400966,Moderate
6174395294,Moderate
6174375318,Conservative
6174359081,Moderate
6174331626,Very Liberal
6174318028,Conservative
6174315975,Moderate
6174302906,Moderate
6174275073,Very Conservative
6174248411,Moderate
6174171654,Moderate
6174170376,Liberal
6174134823,Moderate
6174104786,Conservative
6174086628,Moderate
6174015385,Conservative
6174007291,Moderate
6173999044,Moderate
6173982858,Very Liberal
6173978380,Moderate
6173925042,Conservative
6173916198,Moderate
6173886554,Conservative
6173844521,Conservative
6173835288,Very Liberal
6173811536,Moderate
6173793287,Liberal
6173790714,Moderate
6173784706,Very Liberal
6173780585,Moderate
6173772636,Moderate
6173761327,Very Conservative
6173761149,Liberal
6173750544,Moderate
6173745647,Very Liberal
6173684932,Moderate
6173677940,Moderate
6173667768,Moderate
6173660763,Very Liberal
6173613769,Moderate
6173611865,Very Conservative
6173592306,Liberal
6173589823,Moderate
6173583003,Moderate
6173576606,Conservative
6173510067,Liberal
6173507362,Very Liberal
6173439869,Conservative
6173433324,Liberal
6173423522,Very Liberal
6173423474,Liberal
6173419157,Liberal
6173414540,Liberal
6173412157,Liberal
6173409048,Moderate
6173401687,Moderate
6173401397,Conservative
6173400495,Moderate
6173394402,Very Conservative
6173386716,Moderate
6173385359,Conservative
6173375392,Moderate
6173361506,Conservative
6173360291,Liberal
6173358925,Moderate
6173357930,Liberal
6173355367,Liberal
6173354114,Liberal
6173351249,Moderate
6173351142,Liberal
6173350935,Moderate
6173349576,Very Liberal
6173343880,Liberal
6173341073,Moderate
6173339800,Conservative
6173338895,Liberal
6173337062,Conservative
6173336212,Liberal
6173332833,Conservative
6173328418,Moderate
6173328247,Liberal
6173328036,Moderate
6173322454,Very Conservative
6173317125,Very Liberal
6173313704,Moderate
6173311838,Moderate
6173311761,Liberal
6173309021,Moderate
6173307182,Liberal
6173303727,Liberal
6173300741,Moderate
6173299737,Liberal
6173294872,Moderate
6173294830,Liberal
6173288870,Very Conservative
6173287913,Moderate
6173285402,Moderate
6173283701,Moderate
6173280348,Moderate
6173278692,Moderate
6173274230,Moderate
6173274178,Liberal
6173271765,Moderate
6173268232,Very Liberal
6173266509,Liberal
6173261956,Moderate
6173260646,Liberal
6173251477,Very Liberal
6173249816,Moderate
6173235846,Moderate
6173233598,Moderate
6173226549,Very Liberal
6173218248,Moderate
6173215531,Liberal
6173213717,Conservative
6173212168,Moderate
6173211934,Moderate
6173209913,Very Liberal
6173200023,Moderate
6173197031,Liberal
6173196760,Moderate
6173194346,Liberal
6173193697,Very Liberal
6173192375,Liberal
6173184103,Moderate
6173183587,Moderate
6173176326,Very Conservative
6173172742,Conservative
6173171658,Moderate
6173170241,Moderate
6173165682,Conservative
6173164904,Very Conservative
6173164590,Conservative
6173163023,Conservative
6173162659,Liberal
6173161483,Conservative
6173156574,Moderate
6173156098,Liberal
6173152835,Conservative
6173149858,Moderate
6173149453,Conservative
6173146354,Moderate
6173137857,Moderate
6173136393,Liberal
6173133493,Conservative
6173130075,Liberal
6173126973,Very Liberal
6173119208,Moderate
6173118475,Moderate
6173116840,Very Conservative
6173109031,Conservative
6173106606,Moderate
6173093933,Conservative
6173091155,Liberal
6173087321,Very Conservative
6173080705,Moderate
6173077503,Conservative
6173072870,Moderate
6173069168,Conservative
6173066575,Liberal
6173058005,Moderate
6173056852,Very Conservative
6173055179,Moderate
6173049872,Moderate
6173047611,Liberal
6173046032,Liberal
6173044727,Moderate
6173043014,Conservative
6173035898,Very Conservative
6173035807,Very Liberal
6173029473,Moderate
6173022606,Moderate
6173020335,Moderate
6173020112,Moderate
6173018025,Moderate
6173015762,Moderate
6173011533,Moderate
6173009344,Moderate
6173005642,Liberal
6173005186,Conservative
6173002829,Moderate
6172998389,Liberal
6172996316,Moderate
6172995149,Moderate
6172994496,Liberal
6172992620,Very Liberal
6172985110,Moderate
6172982888,Moderate
6172979676,Very Liberal
6172975930,Moderate
6172975411,Moderate
6172974992,Liberal
6172974212,Conservative
6172973518,Conservative
6172968525,Moderate
6172960441,Liberal
6172959995,Conservative
6172959501,Very Conservative
6172959467,Conservative
6172959087,Moderate
6172958402,Moderate
6172957256,Conservative
6172956371,Conservative
6172956262,Moderate
6172951874,Moderate
6172950705,Very Liberal
6172948597,Liberal
6172946555,Moderate
6172946503,Conservative
6172945558,Very Liberal
6172937766,Moderate
6172936793,Liberal
6172936399,Liberal
6172934191,Liberal
6172931199,Moderate
6172929719,Very Liberal
6172926949,Moderate
6172925985,Moderate
6172924865,Very Liberal
6172924701,Liberal
6172923763,Moderate
6172923527,Conservative
6172920236,Liberal
6172920196,Very Liberal
6172917831,Very Conservative
6172916297,Conservative
6172914351,Liberal
6172913977,Liberal
6172913791,Moderate
6172913030,Moderate
6172912679,Very Liberal
6172912325,Moderate
6172911780,Very Liberal
6172910190,Moderate
6172909326,Very Liberal
6172908202,Moderate
6172907626,Moderate
6172905573,Conservative
6172904736,Liberal
6172902601,Very Liberal
6172902422,Moderate
6172901980,Moderate
6172901060,Conservative
6172899675,Conservative
6172897611,Liberal
6172896765,Liberal
6172896137,Very Conservative
6172895869,Conservative
6172894510,Moderate
6172894291,Moderate
6172893863,Conservative
6172893730,Liberal
6172893318,Moderate
6172892835,Liberal
6172891673,Moderate
6172886338,Moderate
6172886255,Liberal
6172886238,Moderate
6172883475,Conservative
6172882844,Liberal
6172882808,Liberal
6172882442,Moderate
6172882043,Very Liberal
6172881998,Liberal
6172880901,Liberal
6172880126,Liberal
6172879966,Moderate
6172879680,Moderate
6172877903,Conservative
6172877713,Moderate
6172877129,Conservative
6172876885,Moderate
6172876486,Moderate
6172876172,Moderate
6172875917,Moderate
6172873901,Liberal
6172873801,Very Liberal
6172873772,Conservative
6172873596,Liberal
6172872876,Conservative
6172872362,Liberal
6172872336,Liberal
6172871515,Moderate
6172866946,Moderate
6172866364,Liberal
6172866130,Liberal
6172865846,Moderate
6172865781,Very Liberal
6172865516,Moderate
6172865509,Moderate
6172865502,Liberal
6172865396,Very Conservative
6172864462,Moderate
6172863717,Conservative
6172863470,Very Liberal
6172863434,Conservative
6172861724,Liberal
6172860933,Very Liberal
6172860450,Liberal
6172859986,Moderate
6172859925,Moderate
6172859525,Liberal
6172859474,Conservative
6172859465,Conservative
6172858790,Liberal
6172858787,Moderate
6172858484,Very Conservative
6172858154,Conservative
6172857667,Conservative
6172857429,Conservative
6172857380,Moderate
6172855918,Moderate
6172855699,Conservative
6172855088,Very Liberal
6172855017,Moderate
6172853747,Moderate
6172853681,Conservative
6172853575,Moderate
6172852046,Moderate
6172851124,Moderate
6172851073,Moderate
6172851051,Conservative
6172850835,Conservative
6172850766,Liberal
6172850475,Conservative
6172850247,Moderate
6172848945,Moderate
6172848937,Moderate
6172848818,Liberal
6172848601,Very Conservative
6172848147,Liberal
6172847980,Moderate
6172847967,Conservative
6172847596,Conservative
6172847373,Liberal
6172847143,Moderate
6172846725,Conservative
6172845033,Very Conservative
6172844922,Very Liberal
6172844916,Very Liberal
6172844767,Liberal
6172844724,Conservative
6172843899,Moderate
6172843839,Conservative
6172843597,Liberal
6172841628,Conservative
6172840886,Conservative
6172839268,Conservative
6172838988,Moderate
6172838368,Conservative
6172838306,Conservative
6172837331,Liberal
6172836252,Moderate
6172835898,Very Conservative
6172835757,Liberal
6172833324,Conservative
6172832832,Conservative
6172832802,Conservative
6172831917,Conservative
6172831731,Moderate
6172830593,Conservative
6172830146,Conservative
6172829668,Moderate
6172828397,Conservative
6172828346,Conservative
6172828003,Very Liberal
6172827857,Moderate
6172827786,Conservative
6172827672,Liberal
6172827437,Very Liberal
6172827129,Conservative
6172827063,Moderate
6172827027,Conservative
6172826425,Moderate
6172825822,Very Conservative
6172825601,Moderate
6172825145,Moderate
6172824813,Very Liberal
6172823962,Moderate
6172823770,Moderate
6172823643,Conservative
6172823470,Very Liberal
6172823382,Very Liberal
6172823375,Very Liberal
6172822659,Conservative
6172821901,Moderate
6172821562,Moderate
6172821113,Moderate
6172820699,Very Liberal
6172820531,Moderate
6172820228,Liberal
6172820170,Moderate
6172820067,Liberal
6172819823,Moderate
6172818555,Very Liberal
6172818236,Moderate
6172817943,Moderate
6172817167,Moderate
6172817100,Very Conservative
6172817012,Very Liberal
6172816161,Liberal
6172815918,Conservative
6172815349,Liberal
6172815230,Liberal
6172815050,Very Liberal
6172813873,Moderate
6172813442,Liberal
6172812457,Moderate
6172812456,Moderate
6172812432,Conservative
6172811825,Moderate
6172811406,Moderate
6172809245,Liberal
6172808770,Conservative
6172808025,Moderate
6172807885,Very Conservative
6172806143,Moderate
6172805330,Liberal
6172804929,Moderate
6172804757,Moderate
6172804632,Very Liberal
6172804591,Conservative
6172804409,Conservative
6172804225,Conservative
6172803990,Liberal
6172803547,Very Conservative
6172803414,Liberal
6172803351,Conservative
6172803015,Moderate
6172802822,Moderate
6172802738,Very Conservative
6172800342,Very Conservative
6172800001,Moderate
6172799778,Moderate
6172799335,Very Liberal
6172798964,Moderate
6172797835,Very Liberal
6172797573,Moderate
6172797480,Conservative
6172795492,Moderate
6172795418,Moderate
6172795194,Moderate
6172794871,Conservative
6172794113,Liberal
6172793953,Liberal
6172793952,Moderate
6172793036,Conservative
6172792947,Conservative
6172792650,Very Liberal
6172792444,Very Liberal
6172792187,Conservative
6172792118,Liberal
6172792012,Conservative
6172791968,Liberal
6172791139,Very Liberal
6172790273,Moderate
6172790040,Conservative
6172789092,Very Conservative
6172788386,Liberal
6172787570,Moderate
6172786974,Moderate
6172786844,Liberal
6172786727,Moderate
6172786201,Very Liberal
6172786025,Moderate
6172785566,Very Liberal
6172784369,Very Liberal
6172783959,Conservative
6172783710,Liberal
6172783673,Moderate
6172782980,Liberal
6172782886,Liberal
6172782459,Moderate
6172781912,Moderate
6172780919,Very Liberal
6172780764,Moderate
6172780376,Moderate
6172779884,Liberal
6172779536,Moderate
6172778632,Moderate
6172777989,Liberal
6172777354,Conservative
6172776999,Liberal
6172776177,Conservative
6172776152,Moderate
6172775360,Liberal
6172775130,Liberal
6172774640,Conservative
6172774449,Conservative
6172774442,Liberal
6172774175,Liberal
6172773202,Liberal
6172772925,Liberal
6172771596,Moderate
6172770634,Liberal
6172770384,Conservative
6172770319,Conservative
6172770269,Moderate
6172770204,Moderate
6172770034,Moderate
6172769319,Very Liberal
6172768981,Moderate
6172768825,Liberal
6172768769,Liberal
6172768531,Moderate
6172768304,Moderate
6172768168,Very Liberal
6172767226,Very Liberal
6172766652,Liberal
6172765743,Moderate
6172765652,Moderate
6172765530,Moderate
6172764206,Liberal
6172764008,Conservative
6172763723,Liberal
6172763461,Moderate
6172762872,Moderate
6172760846,Liberal
6172760453,Liberal
6172759644,Conservative
6172759372,Moderate
6172758448,Very Liberal
6172758355,Conservative
6172758068,Very Conservative
6172757223,Conservative
6172756541,Conservative
6172755697,Very Conservative
6172755087,Conservative
6172754608,Moderate
6172754580,Moderate
6172754541,Moderate
6172753828,Moderate
6172753587,Conservative
6172752922,Very Liberal
6172752915,Very Conservative
6172752892,Conservative
6172752634,Moderate
6172752505,Very Liberal
6172751088,Moderate
6172750272,Conservative
6172749887,Moderate
6172749399,Moderate
6172748834,Moderate
6172748754,Very Conservative
6172748548,Liberal
6172748458,Moderate
6172747725,Conservative
6172746000,Liberal
6172745425,Moderate
6172745295,Moderate
6172745242,Moderate
6172743868,Liberal
6172743627,Conservative
6172743097,Moderate
6172743009,Moderate
6172742598,Moderate
6172742503,Very Conservative
6172742353,Very Liberal
6172742226,Liberal
6172741221,Liberal
6172740875,Moderate
6172740661,Moderate
6172740352,Moderate
6172740295,Moderate
6172740019,Very Liberal
6172739966,Moderate
6172739725,Liberal
6172739337,Moderate
6172739320,Moderate
6172739167,Very Liberal
6172739081,Moderate
6172738886,Conservative
6172738611,Liberal
6172738250,Moderate
6172738174,Moderate
6172737316,Liberal
6172736882,Conservative
6172736789,Moderate
6172736497,Moderate
6172736368,Liberal
6172735571,Moderate
6172735377,Moderate
6172734891,Very Conservative
6172733624,Liberal
6172733620,Conservative
6172732763,Conservative
6172731733,Moderate
6172731334,Very Liberal
6172731060,Liberal
6172730900,Liberal
6172730806,Moderate
6172730242,Moderate
6172729872,Very Conservative
6172729629,Moderate
6172729416,Moderate
6172729036,Moderate
6172729009,Conservative
6172728112,Conservative
6172727254,Moderate
6172727073,Liberal
6172726699,Moderate
6172726369,Conservative
6172726333,Conservative
6172725738,Conservative
6172725381,Liberal
6172723824,Conservative
6172723135,Conservative
6172722335,Moderate
6172719857,Moderate
6172719803,Conservative
6172719543,Moderate
6172718902,Liberal
6172718310,Liberal
6172718009,Conservative
6172717908,Conservative
6172717753,Moderate
6172717308,Liberal
6172717199,Conservative
6172715754,Moderate
6172715663,Conservative
6172715530,Liberal
6172715339,Moderate
6172715022,Liberal
6172714520,Moderate
6172714513,Liberal
6172714410,Moderate
6172714105,Moderate
6172714001,Very Liberal
6172713939,Liberal
6172713869,Liberal
6172713652,Moderate
6172712988,Moderate
6172712887,Conservative
6172711934,Conservative
6172711381,Liberal
6172711074,Conservative
6172710154,Conservative
6172709963,Conservative
6172709540,Very Liberal
6172709518,Moderate
6172709235,Moderate
6172708991,Moderate
6172708469,Moderate
6172708327,Liberal
6172707764,Liberal
6172707274,Very Liberal
6172706927,Liberal
6172705715,Moderate
6172704434,Very Conservative
6172704057,Conservative
6172701124,Moderate
6172701055,Conservative
6172700780,Moderate
6172700686,Conservative
6172700627,Conservative
6172699963,Moderate
6172699787,Moderate
6172699531,Moderate
6172699380,Liberal
6172699251,Moderate
6172698619,Very Liberal
6172698538,Moderate
6172698183,Liberal
6172697812,Moderate
6172697564,Conservative
6172697139,Moderate
6172696832,Liberal
6172696798,Moderate
6172696216,Moderate
6172695793,Very Conservative
6172695410,Liberal
6172694343,Conservative
6172692322,Moderate
6172692139,Very Liberal
6172691728,Liberal
6172690911,Moderate
6172690459,Moderate
6172690220,Very Liberal
6172689874,Very Liberal
6172689482,Conservative
6172688341,Moderate
6172687217,Moderate
6172686779,Moderate
6172686672,Liberal
6172685755,Liberal
6172684637,Conservative
6172684420,Conservative
6172682290,Moderate
6172681060,Very Conservative
6172680470,Moderate
6172680449,Very Conservative
6172680416,Conservative
6172679846,Moderate
6172679236,Conservative
6172678619,Moderate
6172678409,Moderate
6172677513,Very Liberal
6172676506,Moderate
6172676018,Liberal
6172674368,Very Liberal
6172674300,Moderate
6172674050,Very Conservative
6172673567,Conservative
6172673447,Liberal
6172672621,Moderate
6172670175,Very Liberal
6172670049,Moderate
6172669741,Moderate
6172669552,Conservative
6172669230,Liberal
6172668787,Liberal
6172668165,Conservative
6172667826,Moderate
6172667563,Moderate
6172665846,Conservative
6172665617,Moderate
6172665024,Moderate
6172664692,Moderate
6172663684,Moderate
6172663672,Moderate
6172663499,Very Conservative
6172663490,Liberal
6172663401,Conservative
6172663380,Moderate
6172663339,Liberal
6172663335,Conservative
6172662745,Very Liberal
6172662518,Moderate
6172660669,Moderate
6172657943,Liberal
6172657304,Conservative
6172656775,Moderate
6172656615,Moderate
6172656082,Conservative
6172655330,Very Liberal
6172654679,Moderate
6172654004,Very Conservative
6172653168,Liberal
6172652817,Moderate
6172652432,Very Conservative
6172652037,Liberal
6172651929,Very Liberal
6172651759,Liberal
6172651571,Conservative
6172650470,Liberal
6172650422,Moderate
6172650256,Very Conservative
6172649826,Conservative
6172649578,Moderate
6172649497,Moderate
6172649213,Very Conservative
6172648372,Liberal
6172648152,Very Liberal
6172647703,Liberal
6172646976,Moderate
6172646179,Liberal
6172646024,Moderate
6172644494,Moderate
6172644308,Liberal
6172644231,Very Liberal
6172644230,Very Liberal
6172643715,Moderate
6172642563,Moderate
6172642530,Moderate
6172642166,Very Conservative
6172642077,Conservative
6172641887,Moderate
6172641296,Conservative
6172640489,Moderate
6172638785,Moderate
6172638778,Liberal
6172636833,Moderate
6172636648,Moderate
6172636602,Liberal
6172635906,Moderate
6172635798,Liberal
6172635514,Very Liberal
6172635438,Conservative
6172634642,Conservative
6172634459,Liberal
6172634438,Moderate
6172632906,Conservative
6172632828,Liberal
6172630096,Moderate
6172629802,Very Liberal
6172629778,Very Liberal
6172629291,Conservative
6172628663,Conservative
6172628161,Moderate
6172626955,Moderate
6172626438,Moderate
6172624766,Liberal
6172624560,Conservative
6172624495,Liberal
6172624404,Conservative
6172624205,Liberal
6172624183,Moderate
6172623851,Conservative
6172622883,Moderate
6172622106,Liberal
6172620937,Moderate
6172620813,Moderate
6172620160,Moderate
6172620000,Very Liberal
6172618579,Very Liberal
6172618530,Liberal
6172618415,Liberal
6172618095,Moderate
6172617834,Very Conservative
6172613829,Liberal
6172613154,Very Liberal
6172612199,Very Liberal
6172611849,Moderate
6172610731,Conservative
6172609119,Liberal
6172609039,Liberal
6172603735,Liberal
6172603195,Conservative
6172602791,Liberal
6172602759,Moderate
6172601662,Moderate
6172600661,Conservative
6172600229,Conservative
6172600027,Conservative
6172599624,Conservative
6172598812,Very Conservative
6172597797,Moderate
6172597750,Liberal
6172596554,Moderate
6172595088,Moderate
6172594699,Moderate
6172594335,Very Conservative
6172594150,Conservative
6172593439,Very Liberal
6172592866,Moderate
6172592486,Moderate
6172590614,Conservative
6172589725,Liberal
6172588461,Moderate
6172588045,Conservative
6172587956,Moderate
6172587735,Conservative
6172587569,Liberal
6172587269,Very Conservative
6172587104,Moderate
6172586203,Moderate
6172584921,Conservative
6172583863,Very Liberal
6172583821,Moderate
6172583429,Moderate
6172583382,Conservative
6172581924,Moderate
6172581164,Moderate
6172580029,Liberal
6172579676,Moderate
6172579565,Moderate
6172579072,Moderate
6172578963,Moderate
6172578356,Very Conservative
6172577610,Very Conservative
6172577024,Moderate
6172576987,Conservative
6172575983,Very Liberal
6172575658,Liberal
6172574085,Very Liberal
6172574065,Moderate
6172573196,Moderate
6172571365,Conservative
6172570983,Conservative
6172570681,Moderate
6172570269,Conservative
6172570009,Moderate
6172568047,Liberal
6172565026,Moderate
6172564854,Liberal
6172564130,Moderate
6172563860,Moderate
6172563656,Moderate
6172562270,Very Liberal
6172562071,Moderate
6172560817,Liberal
6172560497,Moderate
6172559897,Moderate
6172559790,Moderate
6172559651,Moderate
6172559143,Conservative
6172558123,Conservative
6172556820,Liberal
6172555741,Liberal
6172555715,Conservative
6172555584,Moderate
6172555283,Moderate
6172554893,Liberal
6172554463,Liberal
6172553964,Moderate
6172553640,Moderate
6172552016,Very Liberal
6172551582,Very Liberal
6172550900,Moderate
6172550571,Moderate
6172549839,Moderate
6172549500,Moderate
